league,season,team,player_name,nation,position,age,date_of_birth,Playing Time_MP,Playing Time_Starts,minutes,Playing Time_90s,goals,assists,Performance_G+A,Performance_G-PK,Performance_PK,Performance_PKatt,yellow_cards,red_cards,Per 90 Minutes_Gls,Per 90 Minutes_Ast,Per 90 Minutes_G+A,Per 90 Minutes_G-PK,Per 90 Minutes_G+A-PK,np_xg,xg,xa,np_goals,key_passes,xg_chain,xg_buildup,key_passes_per90,def_actions_per90,standard_position,position_source,is_official,data_completeness
Premier League,2425,Chelsea,Tyrique George,ENG,FW,18.0,2006.0,8,1,183,2.0,1,1,2,1,0,0,1,0,0.49,0.49,0.98,0.49,0.98,0.3738933689892292,0.3738933689892292,1.0261513106524944,1,6,1.885858304798603,0.5690330639481544,2.9508196721311477,0.0,Winger,heuristic,False,1.0
Premier League,2425,Crystal Palace,Adam Wharton,ENG,MF,20.0,2004.0,20,16,1318,14.6,0,2,2,0,0,0,2,0,0.0,0.14,0.14,0.0,0.14,0.3357602218165993,0.3357602218165993,3.3524712435901165,0,26,6.537219719961286,5.249624631367624,1.7754172989377843,0.0,AM,heuristic,True,1.0
Premier League,2425,Crystal Palace,Asher Agbinone,ENG,MF,18.0,2005.0,2,0,6,0.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0151914963498711,0.0151914963498711,0.0238666459918022,0,1,0.0369486222043633,0.0130819762125611,15.0,0.0,AM,heuristic,False,1.0
Premier League,2425,Crystal Palace,Justin Devenny,NIR,MF,20.0,2003.0,23,4,507,5.6,1,1,2,1,0,0,1,0,0.18,0.18,0.36,0.18,0.36,1.1472182907164097,1.1472182907164097,0.6334958653897047,1,7,2.1069728769361973,0.9024819005280732,1.242603550295858,0.0,AM,heuristic,False,1.0
Premier League,2425,Crystal Palace,Matheus França,BRA,FW,20.0,2004.0,4,0,55,0.6,1,0,1,1,0,0,0,0,1.64,0.0,1.64,1.64,1.64,0.4079460725188255,0.4079460725188255,0.0,1,0,0.5714588239789009,0.1635127514600753,0.0,0.0,Winger,heuristic,False,1.0
Premier League,2425,Crystal Palace,Romain Esse,ENG,MF,19.0,2005.0,7,1,138,1.5,1,1,2,1,0,0,0,0,0.65,0.65,1.3,0.65,1.3,0.5787168145179749,0.5787168145179749,0.3007222488522529,1,3,1.1815895438194275,0.3021504878997803,1.9565217391304348,0.0,AM,heuristic,False,1.0
Premier League,2425,Everton,Carlos Alcaraz,ARG,MF,21.0,2002.0,15,7,764,8.5,2,3,5,2,0,0,4,0,0.24,0.35,0.59,0.24,0.59,1.660201769322157,1.660201769322157,2.288683351129293,2,14,3.914981357753277,0.6430606916546822,1.6492146596858637,0.0,AM,heuristic,True,1.0
Premier League,2425,Everton,Harrison Armstrong,ENG,MF,17.0,2007.0,3,0,48,0.5,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0,0.2571773827075958,0.2571773827075958,0.0711022391915321,0,1,0.3282796144485473,0.0,1.875,0.0,AM,heuristic,False,1.0
Premier League,2425,Everton,Tim Iroegbunam,ENG,MF,21.0,2003.0,18,5,574,6.4,0,1,1,0,0,0,4,0,0.0,0.16,0.16,0.0,0.16,0.2085244953632354,0.2085244953632354,0.1753694489598274,0,3,1.8715934120118616,1.4876995496451857,0.47038327526132406,0.0,AM,heuristic,False,1.0
Premier League,2425,Everton,Youssef Chermiti,POR,FW,20.0,2004.0,4,0,45,0.5,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0,0.1710504256188869,0.1710504256188869,0.0,0,0,0.1371285207569599,0.0751712769269943,0.0,0.0,Winger,heuristic,False,1.0
Premier League,2425,Fulham,Jay Stansfield,ENG,"FW,MF",21.0,2002.0,1,0,1,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,Winger,heuristic,False,1.0
Premier League,2425,Fulham,Joshua King,ENG,MF,17.0,2007.0,8,1,130,1.4,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.5880258642137051,0.5880258642137051,0.7531819939613342,0,3,1.37447259016335,0.4954258985817432,2.076923076923077,0.0,AM,heuristic,False,1.0
Premier League,2425,Fulham,Martial Godo,CIV,"FW,MF",21.0,2003.0,2,0,24,0.3,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0834133774042129,0,1,0.0834133774042129,0.0,3.75,0.0,Winger,heuristic,False,1.0
Premier League,2425,Ipswich Town,Julio Enciso,PAR,MF,20.0,2004.0,13,12,869,9.7,2,3,5,2,0,0,3,0,0.21,0.31,0.52,0.21,0.52,2.7400452066212893,2.7400452066212893,2.227620951831341,2,18,6.231109814718366,2.7869491232559085,1.8642117376294591,0.0,AM,heuristic,True,1.0
Premier League,2425,Ipswich Town,Liam Delap,ENG,FW,21.0,2003.0,37,32,2593,28.8,12,2,14,10,2,2,12,0,0.42,0.07,0.49,0.35,0.42,10.40864434838295,11.930982023477554,2.784454360604286,10,20,14.707014501094818,3.1533351335674524,0.6941766293868106,0.0,Winger,heuristic,True,1.0
